[2026-03-11T22:32:16.150Z] REMOVED: Revolut | Senior Software Engineer (DevOps) - Observability Platform | https://www.revolut.com/careers/engineering/ | HTTP 403
[2026-03-11T22:32:16.150Z] REMOVED: Revolut | Rev-celerator Graduate Programme 2026: iOS Software Engineer | https://www.revolut.com/en-US/graduate-programme/ | HTTP 403
[2026-03-11T22:32:16.150Z] REMOVED: Pleo | Software Engineer - Authentication and Authorization | https://www.pleo.io/en/careers/jobs/6335256003 | HTTP 404
[2026-03-11T22:32:16.150Z] REMOVED: Mistral AI | AI Solution Architect, Deployment - France 🇫🇷, UK, USA 🇺🇸 | https://jobs.lever.co/mistral/df3d4b5c-4910-42c8-8fe8-5fd114b2961a | HTTP 404
[2026-03-11T22:32:16.150Z] REMOVED: Shiftmove | Senior Software Engineer - Backend (Java) (f/m/x) | https://www.shiftmove.com/careers/job-opening?id=3f763e48-0809-4037-9c0f-1ab9551f6093 | HTTP 404
[2026-03-11T22:32:16.150Z] REMOVED: Marsh McLennan | IT Program Manager | https://careers.marshmclennan.com/global/en/job/R_286926/IT-Program-Manager | HTTP 410
[2026-03-11T22:32:16.151Z] REMOVED: Sumup | (Senior) Backend Engineer | https://www.sumup.com/careers/positions/berlin-germany/engineering/senior-backend-engineer/7687337002/ | HTTP 410
[2026-03-11T22:32:16.151Z] REMOVED: Zalando | Junior Business Intelligence Engineer (All Genders) | https://jobs.zalando.com/en/jobs/2716140-Junior-Business-Intelligence-Engineer-(All-Genders | HTTP 404
[2026-03-11T22:32:16.151Z] REMOVED: Shield AI | Mechanical Design Engineer II (R3051) | https://jobs.lever.co/shieldai/9913cc87-5734-4aae-901b-1f7e19cdd803 | HTTP 404
[2026-03-11T22:32:16.151Z] REMOVED: Shield AI | Electrical Engineer | https://jobs.lever.co/shieldai/332af47f-4ec4-4e70-a1dd-4f7b323983cb | HTTP 404
[2026-03-11T22:32:16.151Z] REMOVED: Shield AI | Senior Staff RF Engineer (R2319) | https://jobs.lever.co/shieldai/b1737a8d-c564-4489-b6a4-4e6ecb42e292 | HTTP 404
[2026-03-11T22:32:16.151Z] REMOVED: Shield AI | Sr. RF Engineer (R2319) | https://jobs.lever.co/shieldai/3860d2b9-4619-4350-9c7c-0918ef988db0 | HTTP 404
[2026-03-11T22:32:16.151Z] REMOVED: Shield AI | Staff Electrical Engineer, EMI (R2319) | https://jobs.lever.co/shieldai/1db0ce2d-42f0-4be6-aa43-4753c1f4e011 | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Shield AI | Staff Electrical CAD Engineer (R3076) | https://jobs.lever.co/shieldai/d15e6ed4-97b2-4dab-90bb-9d26aaa86bdd/ | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Shield AI | Senior Staff Electrical Engineer | https://jobs.lever.co/shieldai/e672bf76-f8f5-4139-95db-6c3d1b0e1d3c | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: HomeToGo | Junior PHP Back-End Engineer (Tech Services) - Smoobu (m/f/d) | https://job-boards.eu.greenhouse.io/hometogo/jobs/4474966101 | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Jaywalker | Software Engineer | https://jaywalker.ch/jobs/software-engineer/ | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Mara Talent | Senior Recruitment Consultant​/Relocate to America | https://www.learn4good.com/jobs/nottingham/uk/hr_and_recruitment/3791554722/e/ | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: My Australian Career | Head of Junior School (Years K-4) | https://www.seek.com.au/job/80288209 | HTTP 403
[2026-03-11T22:32:16.152Z] REMOVED: Cloud BC Labs | Sr Data Engineer | https://www.ziprecruiter.com/c/Cloud-BC-Labs/Job/Sr-Data-Engineer/-in-Columbus,OH?closed_job_redirect=1&jid=789eb0e3292d9eb2 | HTTP 403
[2026-03-11T22:32:16.152Z] REMOVED: Container xChange | Backend Engineer (f/m/d) | https://xchange.recruitee.com/o/backend-engineer-fmd-2 | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Container xChange | (Junior) Frontend Engineer (m/f/d) | https://xchange.recruitee.com/o/frontend-engineer-f-m-d | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Crytek | Senior UI Programmer | https://www.crytek.com/career/offers/overview/frankfurt-remote/programming-engineering/senior-ui-programmer | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Crytek | Senior Site Reliability Engineer | https://www.crytek.com/career/offers/overview/frankfurt-remote/programming-engineering/senior-site-reliability-engineer | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Crytek | Senior C++ Build Pipeline Programmer | https://www.crytek.com/career/offers/overview/frankfurt-remote/programming-engineering/senior-c-build-pipeline-programmer | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Crytek | Sandbox Lead | https://www.crytek.com/career/offers/overview/frankfurt-remote/programming-engineering/sandbox-lead | HTTP 404
[2026-03-11T22:32:16.152Z] REMOVED: Crytek | Lead Site Reliability Engineer | https://www.crytek.com/career/offers/overview/frankfurt-remote/programming-engineering/lead-site-reliability-engineer | HTTP 404
